title_key,n_openalex_work_ids,representative_title,work_ids,years,raw_reference_edges
integrating a set of contract checking tools into visual studio,2,Integrating a set of contract checking tools into visual studio,W2006365753; W3140896149,2012,2
interactive theorem proving,2,Interactive Theorem Proving,W2481963721; W4206694237,"2011, 2021",2
interface automata,2,Interface automata,W2293287097; W4244728546,2001,2
international symposium on programming,2,International Symposium on Programming,W2476374105; W4247885407,"1982, 1984",2
interprocedural partial redundancy elimination and its application to distributed memory compilation,2,Interprocedural partial redundancy elimination and its application to distributed memory compilation,W2155397373; W3005766367,1995,2
interval analysis for computer graphics,2,Interval analysis for computer graphics,W2169964384; W4249516290,1992,2
introduction,2,Introduction,W4246274719; W4249583447,"2016, 2017",2
introduction to functional programming,2,Introduction to functional programming,W1507693023; W2968694164,"1988, 2019",2
introduction to high performance scientific computing,2,Introduction to High Performance Scientific Computing,W4298097438; W632194658,"2015, 2016",2
introduction to information retrieval,2,Introduction to information retrieval,W1532325895; W4213009331,"2008, 2009",2
introduction to machine learning,2,Introduction to Machine Learning,W2751318774; W4312681280,"2019, 2022",2
introduction to quantum computation,2,Introduction to Quantum Computation,W1619080249; W2111390870,"2003, 2007",2
introduction to real analysis,2,Introduction to Real Analysis,W1537372611; W2963521659,"2003, 2019",2
introduction to smooth manifolds,2,Introduction to Smooth Manifolds,W1557324374; W4212819559,"2003, 2012",2
invariant measures concentrated on countable structures,2,INVARIANT MEASURES CONCENTRATED ON COUNTABLE STRUCTURES,W1837282692; W3100613408,"2013, 2016",2
isap v2 0,2,Isap v2.0,W3049306273; W4254214383,2020,2
isolating and understanding concurrency errors using reconstructed execution fragments,2,Isolating and understanding concurrency errors using reconstructed execution fragments,W2106858176; W4233347627,2011,2
javadl automatically incrementalizing java bug pattern detection,2,JavaDL: Automatically Incrementalizing Java Bug Pattern Detection,W6893847193; W6912690816,2021,2
jedd,2,Jedd,W2136503680; W4241344291,2004,2
kestrel relational verification using e graphs for program alignment,2,KestRel: Relational Verification Using E-Graphs for Program Alignment,W4394838728; W6930615392,"2024, 2025",2
kite,2,Kite,W2861196621; W3000455689,"2018, 2020",2
kitsune,2,Kitsune,W2027296616; W2049659774,"2012, 2014",2
l a l b decidability results from complete formal systems,2,L(A) = L(B)? Decidability Results from Complete Formal Systems,W1541953080; W2111753126,"2001, 2002",2
lambda calculus schemata,2,Lambda-calculus schemata,W2029818286; W2041945455,"1972, 1993",2
lambda dropping transforming recursive equations into programs with block structure,2,Lambda-dropping: transforming recursive equations into programs with block structure,W2077853727; W4234297566,"1999, 2000",2
landfill an open dataset of code smells with public evaluation,2,Landfill: an open dataset of code smells with public evaluation,W2077919660; W4243311255,2015,2
language modularity with the mps language workbench,2,Language modularity with the MPS language workbench,W2167469483; W3144910326,2012,2
large margin classification using the perceptron algorithm,2,Large margin classification using the perceptron algorithm,W1979711143; W4249572517,"1998, 1999",2
lattice surgery with a twist simplifying clifford gates of surface codes,2,Lattice Surgery with a Twist: Simplifying Clifford Gates of Surface Codes,W2753032830; W3099545137,2018,2
leaking space,2,Leaking space,W2341329932; W3083511734,2013,2
learning to represent edits,2,Learning to Represent Edits,W2898951026; W2963965612,2018,2
legato end to end bounded region serializability using commodity hardware transactional memory,2,Legato: end-to-end bounded region serializability using commodity hardware transactional memory,W2593977208; W4256353911,2017,2
letters to the editor,2,Letters to the editor,W2049820860; W4210834766,"1963, 1975",2
leveraging linear and mixed integer programming for smt,2,Leveraging Linear and Mixed Integer Programming for SMT,W2013892603; W2395386862,2014,2
lifting propositional interpolants to the word level,2,Lifting Propositional Interpolants to the Word−Level,W2098467159; W4242333425,2007,2
lightweight generics in embedded systems through static analysis,2,Lightweight generics in embedded systems through static analysis,W2142019528; W3161720777,2012,2
lightweight monadic programming in ml,2,Lightweight monadic programming in ML,W2030360570; W4244177239,2011,2
lightweight recoverable virtual memory,2,Lightweight recoverable virtual memory,W2155323584; W4231885549,"1993, 1994",2
limitations of highly available eventually consistent data stores,2,Limitations of Highly-Available Eventually-Consistent Data Stores,W2163285148; W2336088419,"2015, 2016",2
linearity sharing and state a fully abstract game semantics for idealized algol with active expressions,2,"Linearity, Sharing and State: A Fully Abstract Game Semantics for Idealized Algol with Active Expressions",W1977216954; W3169946360,"1996, 1997",2
ll sc and atomic copy constant time space efficient implementations using only pointer width cas,2,"LL/SC and Atomic Copy: Constant Time, Space Efficient Implementations Using Only Pointer-Width CAS",W2990923843; W3097570329,2019,2
local search for satisfiability modulo integer arithmetic theories,2,Local Search For Satisfiability Modulo Integer Arithmetic Theories,W4309587750; W4377021963,"2022, 2023",2
logic for computer scientists,2,Logic for Computer Scientists,W2163268481; W4252344653,2008,2
logic programming and databases,2,Logic Programming and Databases,W1509428113; W4205142694,"1990, 1991",2
lolliproc,2,Lolliproc,W2070112643; W4234108538,2010,2
lost in abstraction monotonicity in multi threaded programs,2,Lost in Abstraction: Monotonicity in Multi-threaded Programs,W1243232056; W2293697645,"2014, 2016",2
lots o ticks,2,Lots o'Ticks,W2099767549; W4238735223,2001,2
low power cmos digital design,2,Low-power CMOS digital design,W1633471522; W2166243422,"1992, 2015",2
machine independent virtual memory management for paged uniprocessor and multiprocessor architectures,2,Machine-independent virtual memory management for paged uniprocessor and multiprocessor architectures,W2097174266; W4300746813,1987,2
magicfuzzer scalable deadlock detection for large scale applications,2,MagicFuzzer: scalable deadlock detection for large-scale applications,W2104831091; W3151416809,2012,2
maintenance of materialized views problems techniques and applications,2,"Maintenance of Materialized Views: Problems, Techniques, and Applications",W1943411325; W253264081,"1995, 1999",2
making operation based crdts operation based,2,Making operation-based CRDTs operation-based,W2061940402; W2904215295,2014,2
making smalltalk a database system,2,Making smalltalk a database system,W1977101058; W2998952999,1984,2
making the fast case common and the uncommon case simple in unbounded transactional memory,2,Making the fast case common and the uncommon case simple in unbounded transactional memory,W2115003448; W4245693595,2007,2
making trace monitors feasible,2,Making trace monitors feasible,W2021875003; W4231411900,2007,2
markov chain monte carlo convergence diagnostics a comparative review,2,Markov Chain Monte Carlo Convergence Diagnostics: A Comparative Review,W2102862543; W4256665558,1996,2
mathematical logic,2,Mathematical logic,W2977904728; W4237721941,"1967, 1994",2
mathematical programming methods,2,Mathematical Programming Methods,W2291661959; W6983295390,"1976, 1977",2
mathsat tight integration of sat and mathematical decision procedures,2,MathSAT: Tight Integration of SAT and Mathematical Decision Procedures,W2158995961; W4243645102,2005,2
maté,2,Maté,W2124705135; W4255895675,2002,2
meaningful change detection in structured data,2,Meaningful change detection in structured data,W2143275903; W4245525132,1997,2
measures on the closed subspaces of a hilbert space,2,Measures on the Closed Subspaces of a Hilbert Space,W2070217890; W4244716531,"1957, 1975",2
measuring catastrophic forgetting in neural networks,2,Measuring Catastrophic Forgetting in Neural Networks,W2743151379; W2963560049,"2017, 2018",2
mechanising blockchain consensus,2,Mechanising blockchain consensus,W2774513577; W4245104683,"2017, 2018",2
mechanized semantics for compiler verification,2,Mechanized Semantics for Compiler Verification,W1547334915; W2176417916,2012,2
meeting midway improving cmp performance with memory side prefetching,2,Meeting midway: improving CMP performance with memory-side prefetching,W2001770111; W3136405287,2013,2
memory dependence prediction using store sets,2,Memory dependence prediction using store sets,W2064909421; W4210823068,1998,2
milp modeling for large s boxes to optimize probability of differential characteristics,2,MILP Modeling for (Large) S-boxes to Optimize Probability of Differential Characteristics,W2782859210; W4242766192,2017,2
miniagda integrating sized and dependent types,2,MiniAgda: Integrating Sized and Dependent Types,W2952161062; W3188212766,"2010, 2018",2
miniboxing,2,Miniboxing,W2041364386; W4255255387,2013,2
minimizing the cost of iterative compilation with active learning,2,Minimizing the cost of iterative compilation with active learning,W2586408124; W3163667142,2017,2
minimum cost loop nests for contraction of a sparse tensor with a tensor network,2,Minimum Cost Loop Nests for Contraction of a Sparse Tensor with a Tensor Network,W4384263491; W4399344346,"2023, 2024",2
mining frequent patterns without candidate generation,2,Mining frequent patterns without candidate generation,W2064853889; W4252403066,2000,2
mitigation of readout noise in near term quantum devices by classical post processing based on detector tomography,2,Mitigation of readout noise in near-term quantum devices by classical post-processing based on detector tomography,W2963421575; W3101842759,2020,2
mitosis compiler,2,Mitosis compiler,W2155410188; W4253095404,2005,2
mnist c a robustness benchmark for computer vision,2,MNIST-C: A Robustness Benchmark for Computer Vision,W2948140748; W4301599248,2019,2
modal effect types,2,Modal Effect Types,W4401669034; W4409311646,"2024, 2025",2
model checking parameterized asynchronous shared memory systems,2,Model Checking Parameterized Asynchronous Shared-Memory Systems,W2761734916; W374648105,"2015, 2016",2
model representation over finite and infinite signatures,2,Model Representation over Finite and Infinite Signatures,W1587803076; W2040182340,"2006, 2007",2
modeling the time variability of sdss stripe 82 quasars as a damped random walk,2,MODELING THE TIME VARIABILITY OF SDSS STRIPE 82 QUASARS AS A DAMPED RANDOM WALK,W1967715705; W3099304242,2010,2
modern concurrency abstractions for c,2,Modern concurrency abstractions for C#,W2118317839; W4238772279,"2002, 2004",2
modern datalog engines,2,Modern Datalog Engines,W4285157437; W4293208303,2022,2
modern software tools for scientific computing,2,Modern software tools for scientific computing,W176939601; W191882325,"1997, 2005",2
modular control plane verification via temporal invariants,2,Modular Control Plane Verification via Temporal Invariants,W4224320107; W4364387774,"2022, 2023",2
modular typechecking for hierarchically extensible datatypes and functions,2,Modular typechecking for hierarchically extensible datatypes and functions,W2126234902; W3034080026,"2002, 2004",2
monadic and comonadic aspects of dependency analysis,2,Monadic and Comonadic Aspects of Dependency Analysis,W4295992770; W4307887886,2022,2
monitoring networks through multiparty session types,2,Monitoring Networks through Multiparty Session Types,W2995356440; W59370666,"2013, 2017",2
more on the size of higman haines sets effective constructions,2,More on the Size of Higman-Haines Sets: Effective Constructions,W2151646486; W4248122200,"2007, 2009",2
mpi runtime error detection with must advances in deadlock detection,2,MPI Runtime Error Detection with MUST: Advances in Deadlock Detection,W1990128020; W4253460352,2012,2
multi objective optimization,2,Multi-objective Optimization,W2198098822; W4241971694,"2013, 2016",2
multi return function call,2,Multi-return function call,W1964116669; W2144700864,"2004, 2006",2
mutually enhancing test generation and specification inference,2,Mutually Enhancing Test Generation and Specification Inference,W1533857697; W2584780271,2004,2
nasa task load index nasa tlx 20 years later,2,Nasa-Task Load Index (NASA-TLX); 20 Years Later,W2151905266; W4245990317,2006,2
natural adversarial examples,2,Natural Adversarial Examples,W2961301154; W3177096435,"2019, 2021",2
natural language processing almost from scratch,2,Natural Language Processing (almost) from Scratch,W2158899491; W2952230511,2011,2
network wide configuration synthesis,2,Network-Wide Configuration Synthesis,W2552298303; W2952969985,"2016, 2017",2
new cache designs for thwarting software cache based side channel attacks,2,New cache designs for thwarting software cache-based side channel attacks,W2166293920; W4241773843,2007,2
new trends in density matrix renormalization,2,New trends in density matrix renormalization,W2093617300; W3101835793,2006,2
niagaracq,2,NiagaraCQ,W2132461362; W4232534713,2000,2
nltk,2,NLTK,W2143017621; W4245267204,"2002, 2004",2
non null references by default in java alleviating the nullity annotation burden,2,Non-null references by default in java: alleviating the nullity annotation burden,W1874950958; W4241904514,2007,2
numerical methods for scientists and engineers,2,Numerical Methods for Scientists and Engineers,W3036935753; W4402262041,"1975, 2024",2
numerical optimization,2,Numerical optimization,W3029645440; W4301014524,"2006, 2021",2
object relative addressing compressed pointers in 64 bit java virtual machines,2,Object-Relative Addressing: Compressed Pointers in 64-Bit Java Virtual Machines,W1548802270; W2560476913,"2007, 2008",2
objective c programming,2,Objective-C Programming,W3164082694; W578514382,"2013, 2014",2
observation of gauge invariance in a 71 site bose hubbard quantum simulator,2,Observation of gauge invariance in a 71-site Bose–Hubbard quantum simulator,W3082193589; W3101626761,2020,2
on barron and strachey s cartesian product function,2,On Barron and Strachey's Cartesian Product Function,W2724973355; W3002822525,2007,2
on bounding problems of quantitative information flow,2,On bounding problems of quantitative information flow,W1484057600; W2947969153,"2010, 2011",2
on decidable and undecidable extensions of simply typed lambda calculus,2,On Decidable and Undecidable Extensions of Simply Typed Lambda Calculus,W4404401104; W4406222247,"2024, 2025",2
on exact quantum query complexity,2,On Exact Quantum Query Complexity,W2139821069; W3101283140,"2011, 2013",2
on ideal lattices and learning with errors over rings,2,On Ideal Lattices and Learning with Errors over Rings,W2071825329; W2098290658,"2010, 2013",2
on notions of regularity for data languages,2,On notions of regularity for data languages,W2163310156; W3005147078,"2007, 2009",2
on polymorphic sessions and functions,2,On Polymorphic Sessions and Functions,W2797067244; W3172689801,"2018, 2021",2
on series parallel pomset languages rationality context freeness and automata,2,"On series-parallel pomset languages: Rationality, context-freeness and automata",W2903712233; W3098007364,"2018, 2019",2
on stack replacement distilled,2,"On-stack replacement, distilled",W2798432239; W3183480845,2018,2
on the analysis of interacting pushdown systems,2,On the analysis of interacting pushdown systems,W2038216124; W4247858957,2007,2
on the complexity of linearizability,2,On the Complexity of Linearizability,W1532290188; W2794155582,"2015, 2018",2
on the complexity of putinar vasilescu s positivstellensatz,2,On the complexity of Putinar–Vasilescu's Positivstellensatz,W3157758976; W4220774658,"2021, 2022",2
on the importance of points to analysis and other memory disambiguation methods for c programs,2,On the importance of points-to analysis and other memory disambiguation methods for C programs,W2003675210; W3045684483,2001,2
on the learnability of disjunctive normal form formulas,2,On the Learnability of Disjunctive Normal Form Formulas,W2033049828; W4238857046,1995,2
on the relation of interaction semantics to continuations and defunctionalization,2,On the Relation of Interaction Semantics to Continuations and Defunctionalization,W1683412184; W3106208742,"2014, 2016",2
on the side effects of code abstraction,2,On the side-effects of code abstraction,W2029919639; W4238878191,2003,2
one down 699 to go or synthesising compositional desugarings,2,"One down, 699 to go: or, synthesising compositional desugarings",W3200769474; W3201523680,2021,2
one unambiguous regular languages,2,One-Unambiguous Regular Languages,W2057841333; W2998389348,1998,2
online performance auditing,2,Online performance auditing,W2055817654; W4243305730,2006,2
open source computer algebra systems,2,Open source computer algebra systems,W2011357920; W4249835868,"2010, 2012",2
optimal speedup of las vegas algorithms,2,Optimal speedup of Las Vegas algorithms,W2094855848; W2154318861,"1993, 2002",2
optimathsat a tool for optimization modulo theories,2,OptiMathSAT: A Tool for Optimization Modulo Theories,W1022177737; W3021334088,"2015, 2018",2
optimistic evaluation,2,Optimistic evaluation,W2135037829; W4248041368,2003,2
optimization directed compiler fuzzing for continuous translation validation,2,Optimization-Directed Compiler Fuzzing for Continuous Translation Validation,W4411267910; W6968341395,2025,2
optimizing for parallelism and data locality,2,Optimizing for parallelism and data locality,W2077960035; W4241752870,"1992, 2014",2
optimizing hash array mapped tries for fast and lean immutable jvm collections,2,Optimizing hash-array mapped tries for fast and lean immutable JVM collections,W2062349224; W4237405477,2015,2
optimizing program locality through cmes and gas,2,Optimizing program locality through CMEs and GAs,W2161229179; W4254387659,"2003, 2004",2
optimizing programs with intended semantics,2,Optimizing programs with intended semantics,W2104462386; W4233563801,2009,2
paradoxes of probabilistic programming and how to condition on events of measure zero with infinitesimal probabilities,2,Paradoxes of probabilistic programming: and how to condition on events of measure zero with infinitesimal probabilities,W3119685641; W6950201671,"2020, 2021",2
parallel algorithms with optimal speedup for bounded treewidth,2,Parallel algorithms with optimal speedup for bounded treewidth,W1541012495; W2017492235,"1995, 1998",2
parallel flow sensitive pointer analysis by graph rewriting,2,Parallel flow-sensitive pointer analysis by graph-rewriting,W1999398749; W4234839769,2013,2
parameterized complexity,2,Parameterized Complexity,W4292230561; W4396808240,"1999, 2024",2
particle gibbs with ancestor sampling for probabilistic programs,2,Particle Gibbs with Ancestor Sampling for Probabilistic Programs,W1962717331; W2963630431,2015,2
pearls of functional algorithm design,2,Pearls of functional algorithm design,W1590310444; W4296274916,"2010, 2011",2
philosophy and the practice of bayesian statistics,2,Philosophy and the practice of Bayesian statistics,W2951147613; W3122478777,"2010, 2012",2
photonic quantum technologies,2,Photonic quantum technologies,W1967673033; W3006572015,"2009, 2020",2
pointer networks,2,Pointer networks,W2507756961; W3037280547,2015,2
policy mechanism separation in hydra,2,Policy/mechanism separation in Hydra,W2036790532; W4242574860,1975,2
polyhedral auto transformation with no integer linear programming,2,Polyhedral auto-transformation with no integer linear programming,W2799269451; W3012085932,2018,2
polymorphic typestate for session types,2,Polymorphic Typestate for Session Types,W4307934025; W4385849472,"2022, 2023",2
polynomial time and dependent types,2,Polynomial Time and Dependent Types,W4384808200; W6947830926,"2023, 2024",2
polynomial time inverse computation for accumulative functions with multiple data traversals,2,Polynomial-time inverse computation for accumulative functions with multiple data traversals,W1998594782; W2162741239,2012,2
positive operators,2,Positive Operators,W2911459287; W4255507581,"2006, 2008",2
poster,2,POSTER,W2581643029; W2765944901,2017,2
practical concurrent traversals in search trees,2,Practical concurrent traversals in search trees,W2788751764; W3087596853,2018,2
practical fault detection in puppet programs,2,Practical fault detection in puppet programs,W3088191102; W4287664278,2020,2
precise memory leak detection for java software using container profiling,2,Precise memory leak detection for java software using container profiling,W2154843497; W2157579724,"2008, 2013",2
precision and error analysis of matlab applications during automated hardware synthesis for fpgas,2,Precision and error analysis of MATLAB applications during automated hardware synthesis for FPGAs,W2151176284; W4253587856,"2001, 2002",2
predator,2,PREDATOR,W2165734765; W4238359122,2014,2
predicate abstraction and refinement for verifying multi threaded programs,2,Predicate abstraction and refinement for verifying multi-threaded programs,W2170487018; W4236040576,2011,2
predicting conditional branch directions from previous runs of a program,2,Predicting conditional branch directions from previous runs of a program,W2167651816; W4249114917,1992,2
predicting whole program locality through reuse distance analysis,2,Predicting whole-program locality through reuse distance analysis,W2024717934; W4241057782,2003,2
presheaf models for concurrency,2,Presheaf models for concurrency,W1511331505; W2732985646,"1996, 1997",2
prime numbers a computational perspective,2,Prime Numbers: A Computational Perspective,W2005936791; W3173983494,"2002, 2012",2
principles and practice of constraint programming,2,Principles and Practice of Constraint Programming,W2501430986; W4232676016,"1994, 2019",2
principles of mathematical analysis,2,Principles of mathematical analysis,W2097415784; W2595897327,"1953, 1964",2
privacy preserving data mining,2,Privacy-preserving data mining,W2128906841; W4248358572,2000,2
probabilistic relational models,2,Probabilistic Relational Models,W2895423403; W4299881428,"2007, 2018",2
probability,2,Probability,W4211192810; W4232753567,"2010, 2019",2
procedural modeling of buildings,2,Procedural modeling of buildings,W2117088012; W4230564045,2006,2
proceedings of the 2007 symposium on dynamic languages,2,Proceedings of the 2007 symposium on Dynamic languages,W1496957882; W4248827858,2007,2
proceedings of the international conference on supercomputing,2,Proceedings of the International Conference on Supercomputing,W2915032613; W4251704173,"2011, 2017",2
proceedings of the national conference on artificial intelligence,2,Proceedings of the National Conference on Artificial Intelligence,W2536379393; W2886362482,"2005, 2015",2
processes in kaffeos isolation resource management and sharing in java,2,"Processes in KaffeOS: isolation, resource management, and sharing in java",W2020136418; W4249622694,2000,2
profile guided code positioning,2,Profile guided code positioning,W2116672403; W4248045917,"1990, 2004",2
profiling a warehouse scale computer,2,Profiling a warehouse-scale computer,W2036895660; W4238420657,2015,2
program extraction for mutable arrays,2,Program Extraction for Mutable Arrays,W2800345163; W3022608628,"2018, 2019",2
program verification as satisfiability modulo theories,2,Program Verification as Satisfiability Modulo Theories,W2397041770; W3020819715,"2012, 2018",2
program verification using templates over predicate abstraction,2,Program verification using templates over predicate abstraction,W2111950041; W3020568625,2009,2
programmatic imitation learning from unlabeled and noisy demonstrations,2,Programmatic Imitation Learning from Unlabeled and Noisy Demonstrations,W4323076615; W4393972717,"2023, 2024",2
programmatic strategy synthesis resolving nondeterminism in probabilistic programs,2,Programmatic Strategy Synthesis: Resolving Nondeterminism in Probabilistic Programs,W4388717631; W4390605315,"2023, 2024",2
programming as a discipline of mathematical nature,2,Programming as a Discipline of Mathematical Nature,W2090596673; W4210314035,1974,2
programs and proofs mechanizing mathematics with dependent types,2,Programs and Proofs: Mechanizing Mathematics with Dependent Types,W6912563179; W6968860906,2014,2
prompting is all you need automated android bug replay with large language models,2,Prompting Is All You Need: Automated Android Bug Replay with Large Language Models,W4379538742; W4391558516,"2023, 2024",2
provably good scheduling for parallel programs that use data structures through implicit batching,2,Provably good scheduling for parallel programs that use data structures through implicit batching,W2060675879; W2106984698,2014,2
provably robust deep learning via adversarially trained smoothed classifiers,2,Provably Robust Deep Learning via Adversarially Trained Smoothed Classifiers,W2951735139; W2971109239,2019,2
psym efficient symbolic exploration of distributed systems,2,Psym: Efficient Symbolic Exploration of Distributed Systems,W4379537666; W6931713075,2023,2
purecake a verified compiler for a lazy functional language,2,PureCake: A Verified Compiler for a Lazy Functional Language,W4379534241; W6931811963,2023,2
pvs combining specification proof checking and model checking,2,"PVS: Combining specification, proof checking, and model checking",W1627776297; W1659048632,1996,2
qualified data flow problems,2,Qualified Data Flow Problems,W2002920670; W2036812689,"1980, 1981",2
quantifying the magic of quantum channels,2,Quantifying the magic of quantum channels,W2921011193; W3101000235,2019,2
quantitative analysis of consistency in nosql key value stores,2,Quantitative Analysis of Consistency in NoSQL Key-Value Stores,W2175270166; W2604995237,"2015, 2017",2
quantitative interprocedural analysis,2,Quantitative Interprocedural Analysis,W2055545029; W3027560063,"2014, 2015",2
quantitative monitoring of stl with edit distance,2,Quantitative Monitoring of STL with Edit Distance,W2521098037; W2795231670,"2016, 2018",2
quantum circuit placement,2,Quantum circuit placement,W2140389278; W2148493470,"2007, 2008",2
quantum gauge field theory in cohesive homotopy type theory,2,Quantum Gauge Field Theory in Cohesive Homotopy Type Theory,W2041893638; W3149816478,"2013, 2014",2
quantum phases of matter on a 256 atom programmable quantum simulator,2,Quantum phases of matter on a 256-atom programmable quantum simulator,W3117469420; W3180039530,2021,2
quantum query complexity of minor closed graph properties,2,Quantum query complexity of minor-closed graph properties,W2623901742; W3099748545,"2010, 2011",2
quantum simulations of lattice gauge theories using ultracold atoms in optical lattices,2,Quantum simulations of lattice gauge theories using ultracold atoms in optical lattices,W1918709909; W3105228778,2015,2
quarl a learning based quantum circuit optimizer,2,Quarl: A Learning-Based Quantum Circuit Optimizer,W4384920055; W4396214556,"2023, 2024",2
random geometric graphs,2,Random Geometric Graphs,W2778446896; W630423399,"2003, 2017",2
random walks on polytopes and an affine interior point method for linear programming,2,Random Walks on Polytopes and an Affine Interior Point Method for Linear Programming,W2123493177; W2145089782,"2009, 2012",2
ranking function synthesis for bit vector relations,2,Ranking function synthesis for bit-vector relations,W2071969326; W2161217905,"2010, 2013",2
rapid region based pointer disambiguation,2,Rapid: Region-based Pointer Disambiguation,W4386464927; W4387674315,2023,2
ratrace simple and efficient abstractions for bvh ray traversal algorithms,2,RaTrace: simple and efficient abstractions for BVH ray traversal algorithms,W2761057027; W4237985935,2017,2
react,2,React,W2558189790; W4318328284,"2016, 2022",2
reactive synthesis towards output sensitive algorithms,2,Reactive Synthesis: Towards Output-Sensitive Algorithms,W2785382935; W2962760075,"2017, 2018",2
realizability in the unitary sphere,2,Realizability in the Unitary Sphere,W2939512914; W3105392254,2019,2
reasoning about networks with many identical finite state processes,2,Reasoning about networks with many identical finite-state processes,W2039812824; W4248849419,"1986, 1987",2
reasoning about online algorithms with weighted automata,2,Reasoning about online algorithms with weighted automata,W2070937106; W4251144709,"2009, 2010",2
reconciling exhaustive pattern matching with objects,2,Reconciling exhaustive pattern matching with objects,W2063553958; W4245299262,2013,2
reconstructing verit proofs in isabelle hol,2,Reconstructing veriT Proofs in Isabelle/HOL,W2969483684; W3098927713,2019,2
reducing false sharing on shared memory multiprocessors through compile time data transformations,2,Reducing false sharing on shared memory multiprocessors through compile time data transformations,W2094439101; W4233567673,1995,2
refining semantics for multi stage programming,2,Refining semantics for multi-stage programming,W2561581089; W4232444174,2017,2
register allocation,2,Register Allocation,W4297672591; W4312357863,"2021, 2022",2
regression models and life tables,2,Regression Models and Life-Tables,W1580788756; W3147894994,"1972, 1992",2
regular canonical systems,2,Regular Canonical Systems,W2035561341; W4232505977,"1964, 1990",2
regular property guided dynamic symbolic execution,2,Regular property guided dynamic symbolic execution,W2071589768; W4246117430,2015,2
regularly annotated set constraints,2,Regularly annotated set constraints,W2123401325; W3174292934,2007,2
relating models of backtracking,2,Relating models of backtracking,W1982998916; W4230823447,2004,2
relational and algebraic methods in computer science,2,Relational and Algebraic Methods in Computer Science,W3150527377; W4243439029,"2011, 2019",2
relational queries over program traces,2,Relational queries over program traces,W2162126440; W4242528790,2005,2
rely guarantee protocols,2,Rely-Guarantee Protocols,W180196925; W4211046704,2014,2
remote timing attacks are practical,2,Remote timing attacks are practical,W1560720671; W3007127761,2005,2
replicated distributed programs,2,Replicated distributed programs,W2020181081; W4233141170,1985,2
replication package for article,2,Replication Package for Article,W3033194525; W3033671188,2019,2
representation and symbolic manipulation of linearly inductive boolean functions,2,Representation and symbolic manipulation of linearly inductive Boolean functions,W2105489972; W4248764752,"1993, 2002",2
reproduction package for an empirical evaluation of property based testing in python,2,Reproduction Package for An Empirical Evaluation of Property-based Testing in Python,W7077055100; W7077081618,2025,2
resolution in type theory,2,Resolution in Type Theory,W2115610240; W4237061074,1971,2
retcon,2,RETCON,W2098359329; W4255372994,2010,2
revec program rejuvenation through revectorization,2,Revec: program rejuvenation through revectorization,W2911593804; W3103937600,2019,2
revisiting loop fusion in the polyhedral framework,2,Revisiting loop fusion in the polyhedral framework,W2172073571; W3054224424,2014,2
revisiting membership problems in subclasses of rational relations,2,Revisiting Membership Problems in Subclasses of Rational Relations,W4384302160; W4390654832,2023,2
robot programming,2,Robot programming,W2294089271; W4252387763,1983,2
robotics software engineering a perspective from the service robotics domain,2,Robotics software engineering: a perspective from the service robotics domain,W3036758131; W3100344681,2020,2
safer unsafe code for net,2,Safer unsafe code for .NET,W2155772078; W3015669913,2008,2
satisfiability modulo odes,2,Satisfiability Modulo ODEs,W1996609162; W2964309890,2013,2
scalable address spaces using rcu balanced trees,2,Scalable address spaces using RCU balanced trees,W2165772200; W4233831038,2012,2
scalable linear algebra on a relational database system,2,Scalable Linear Algebra on a Relational Database System,W2614179415; W2889897289,"2017, 2018",2
scaling regression testing to large software systems,2,Scaling regression testing to large software systems,W2144600533; W4238064055,2004,2
scalpel,2,Scalpel,W2657126969; W4244330903,2017,2
sccharts sequentially constructive statecharts for safety critical applications,2,SCCharts: sequentially constructive statecharts for safety-critical applications,W2128969973; W3011852893,2014,2
search based software engineering,2,Search-based software engineering,W1977321274; W2092382400,"2001, 2012",2
searching for build debt experiences managing technical debt at google,2,Searching for build debt: experiences managing technical debt at Google,W2029482959; W3142332980,2012,2
secure implementation of channel abstractions,2,Secure implementation of channel abstractions,W1841523394; W2049618117,2002,2
secure implementations of typed channel abstractions,2,Secure implementations of typed channel abstractions,W1965427929; W4242450894,2007,2
secure multiparty computation,2,Secure Multiparty Computation,W2746530484; W3026923845,"2017, 2020",2
secure program execution via dynamic information flow tracking,2,Secure program execution via dynamic information flow tracking,W2100666033; W4252481514,2004,2
segmental duplications organization and impact within the current human genome project assembly,2,Segmental Duplications: Organization and Impact Within the Current Human Genome Project Assembly,W2151318268; W4238737563,2001,2
selective eager execution on the polypath architecture,2,Selective eager execution on the PolyPath architecture,W2153948266; W4236787594,"1998, 2002",2
semantic domains and denotational semantics,2,Semantic Domains and Denotational Semantics,W1857165034; W4244619323,1989,2
semantics of static pointcuts in aspectj,2,Semantics of static pointcuts in aspectJ,W2077382005; W4254112940,2007,2
separation logic modulo theories,2,Separation logic modulo theories,W2222934773; W4290004727,2013,2
sgap towards efficient sparse tensor algebra compilation for gpu,2,Sgap: Towards Efficient Sparse Tensor Algebra Compilation for GPU,W4297676209; W4375865627,"2022, 2023",2
shader algebra,2,Shader algebra,W2296015560; W4241441081,2004,2
shape analysis and applications,2,Shape Analysis and Applications,W2394743012; W56096157,"2002, 2007",2
shared memory performance profiling,2,Shared-memory performance profiling,W1998644982; W4242031649,1997,2
sheaf semantics of termination insensitive noninterference,2,Sheaf Semantics of Termination-Insensitive Noninterference,W4224311436; W4412308858,2022,2
