title_key,n_openalex_work_ids,representative_title,work_ids,years,exploded_author_rows
practical foundations for programming languages,2,Practical Foundations for Programming Languages,W1760139041; W4302984605,"2012, 2016",32
probability type inference for flexible approximate programming,2,Probability type inference for flexible approximate programming,W2049451779; W3035298925,2015,32
randomized accuracy aware program transformations for efficient approximate computations,2,Randomized accuracy-aware program transformations for efficient approximate computations,W2165964040; W4239588330,2012,32
refactoring using type constraints,2,Refactoring Using Type Constraints,W1847665756; W2000952465,"2007, 2011",32
static serializability analysis for causal consistency,2,Static serializability analysis for causal consistency,W2798647014; W3119689521,2018,32
sugarj,2,SugarJ,W2078200248; W4240177611,2011,32
tada live compositional reasoning for termination of fine grained concurrent programs,2,TaDA Live: Compositional Reasoning for Termination of Fine-grained Concurrent Programs,W2909610028; W3211705538,"2019, 2021",32
the ant and the grasshopper,2,The ant and the grasshopper,W2153578567; W3005402394,2007,32
the behavior of gradual types a user study,2,The behavior of gradual types: a user study,W2898103424; W4229581335,"2018, 2020",32
the gentle art of levitation,2,The gentle art of levitation,W2012619465; W3003433637,2010,32
the gradualizer a methodology and algorithm for generating gradual type systems,2,The gradualizer: a methodology and algorithm for generating gradual type systems,W2296599395; W4253164464,2016,32
total haskell is reasonable coq,2,Total Haskell is reasonable Coq,W2769582192; W4248709884,"2017, 2018",32
type base flow analysis,2,Type-base flow analysis,W2079752311; W3033694951,2001,32
using dynamic analysis to discover polynomial and array invariants,2,Using dynamic analysis to discover polynomial and array invariants,W2098278465; W3140308147,2012,32
a semantics for concurrent separation logic,2,A semantics for concurrent separation logic,W2125398300; W2168690953,"2004, 2007",31
synthesis of reactive 1 designs,2,Synthesis of Reactive(1) designs,W2041701185; W3023554972,"2005, 2011",31
a massively parallel tensor contraction framework for coupled cluster computations,2,A massively parallel tensor contraction framework for coupled-cluster computations,W2006973305; W4233314536,2014,30
adaptive functional programming,2,Adaptive functional programming,W1971597822; W1995307698,"2002, 2006",30
an efficient implementation of self a dynamically typed object oriented language based on prototypes,2,An efficient implementation of SELF a dynamically-typed object-oriented language based on prototypes,W2058639022; W3162802155,1989,30
asynchronous programming analysis and testing with state machines,2,"Asynchronous programming, analysis and testing with state machines",W2114823082; W4238280899,2015,30
automated atomicity violation fixing,2,Automated atomicity-violation fixing,W2100627043; W4210712189,2011,30
automated error diagnosis using abductive inference,2,Automated error diagnosis using abductive inference,W2144196848; W3104094248,2012,30
bounded refinement types,2,Bounded refinement types,W2152456366; W3171551060,2015,30
consolidation of queries with user defined functions,2,Consolidation of queries with user-defined functions,W2169698083; W3007973663,2014,30
constraints as control,2,Constraints as control,W2115261880; W4243882797,2012,30
contracts for system design,2,Contracts for System Design,W2264340030; W4205178436,2018,30
crosscat a fully bayesian nonparametric method for analyzing heterogeneous high dimensional data,2,"CrossCat: A Fully Bayesian Nonparametric Method for Analyzing Heterogeneous, High Dimensional Data",W2183668859; W2964283485,"2015, 2016",30
data extraction via semantic regular expression synthesis,2,Data Extraction via Semantic Regular Expression Synthesis,W4387667125; W6894151968,2023,30
demand interprocedural dataflow analysis,2,Demand interprocedural dataflow analysis,W2098645109; W4248607285,1995,30
drdebug,2,DrDebug,W1973842602; W4242346613,2014,30
effective automatic parallelization of stencil computations,2,Effective automatic parallelization of stencil computations,W2003798513; W3149084271,2007,30
effective race detection for event driven programs,2,Effective race detection for event-driven programs,W2156370972; W3014461055,2013,30
efficient construction of approximate call graphs for javascript ide services,2,Efficient construction of approximate call graphs for JavaScript IDE services,W2023753091; W4247387602,2013,30
energy efficient computing for wildlife tracking,2,Energy-efficient computing for wildlife tracking,W2123825896; W3003535479,2002,30
esp,2,ESP,W2103714221; W4237087841,2002,30
extensible access control with authorization contracts,2,Extensible access control with authorization contracts,W2535658741; W4248071075,2016,30
formalizing the concurrency semantics of an llvm fragment,2,Formalizing the concurrency semantics of an LLVM fragment,W2592137786; W2743924600,2017,30
freezeml complete and easy type inference for first class polymorphism,2,FreezeML: complete and easy type inference for first-class polymorphism,W3015074823; W6948070472,2020,30
fully abstract compilation by approximate back translation,2,Fully-abstract compilation by approximate back-translation,W2293692853; W3116746739,2016,30
gradual c0 symbolic execution for gradual verification,2,Gradual C0: Symbolic Execution for Gradual Verification,W4303441855; W4405079879,"2022, 2024",30
gradual type theory,2,Gradual type theory,W2900045822; W3205784599,"2019, 2021",30
hypercollecting semantics and its application to static analysis of information flow,2,Hypercollecting semantics and its application to static analysis of information flow,W2509308157; W4232090216,"2016, 2017",30
improving javascript performance by deconstructing the type system,2,Improving JavaScript performance by deconstructing the type system,W2057510141; W3015760907,2014,30
intersection types and computational effects,2,Intersection types and computational effects,W2128529251; W3101847013,2000,30
linearity and the pi calculus,2,Linearity and the pi-calculus,W2042360145; W2092952058,"1996, 1999",30
mechanized semantics for the clight subset of the c language,2,Mechanized Semantics for the Clight Subset of the C Language,W2084175640; W3106373601,2009,30
monads need not be endofunctors,2,Monads Need Not Be Endofunctors,W2161616972; W2402322558,"2010, 2015",30
non linear loop invariant generation using gröbner bases,2,Non-linear loop invariant generation using Gröbner bases,W2098045685; W4246575101,2004,30
parametric effect monads and semantics of effect systems,2,Parametric effect monads and semantics of effect systems,W2007738069; W3125045354,2014,30
parsing with derivatives,2,Parsing with derivatives,W1971841096; W2188521969,2011,30
polyhedral specification and code generation of sparse tensor contraction with co iteration,2,Polyhedral Specification and Code Generation of Sparse Tensor Contraction with Co-Iteration,W4293329542; W4307380766,2022,30
program analysis as constraint solving,2,Program analysis as constraint solving,W2098022036; W3005318059,2008,30
prorace,2,ProRace,W2604695547; W4240347746,2017,30
quantitative analysis of assertion violations in probabilistic programs,2,Quantitative Analysis of Assertion Violations in Probabilistic Programs,W3107839218; W3166047986,"2020, 2021",30
quantum phases of matter on a 256 atom programmable quantum simulator,2,Quantum phases of matter on a 256-atom programmable quantum simulator,W3117469420; W3180039530,2021,30
reconciling event structures with modern multiprocessors,2,Reconciling Event Structures with Modern Multiprocessors,W2986998565; W3108655499,"2019, 2020",30
resolving and exploiting the i k i cfa paradox,2,Resolving and exploiting the <i>k</i> -CFA paradox,W2140430779; W3115018234,2010,30
scalable atomic visibility with ramp transactions,2,Scalable atomic visibility with RAMP transactions,W1995339490; W2497521232,"2014, 2016",30
semi symbolic inference for efficient streaming probabilistic programming,2,Semi-symbolic inference for efficient streaming probabilistic programming,W4307887253; W6968894248,2022,30
spl sup lift sup,2,SPL <sup>LIFT</sup>,W2069283169; W4235417919,2013,30
synthesis of divide and conquer parallelism for loops,2,Synthesis of divide and conquer parallelism for loops,W2626245353; W3006309927,2017,30
synthesizing coupling proofs of differential privacy,2,Synthesizing coupling proofs of differential privacy,W2754729435; W2898734375,2017,30
synthesizing quotient lenses,2,Synthesizing quotient lenses,W2885066046; W4249045153,2018,30
transition invariants,2,Transition invariants,W2293708017; W4248689402,2004,30
type systems as macros,2,Type systems as macros,W2564970793; W4232261649,"2016, 2017",30
types bytes and separation logic,2,"Types, bytes, and separation logic",W2130970533; W4232666937,2007,30
validation of memory accesses through symbolic analyses,2,Validation of memory accesses through symbolic analyses,W1985774614; W4237159548,2014,30
verifying that web pages have accessible layout,2,Verifying that web pages have accessible layout,W2798604085; W4254308815,2018,30
program analysis via graph reachability,2,Program Analysis via Graph Reachability,W1576925855; W2093080079,"1997, 1998",29
